route_key_hash,route_key,source,account_code,provider,model,egress_id,epoch,created_at,updated_at
TOKEN-4CA3MHTE3VODXG3XTTZUGVS4WE,previous_response_id:TOKEN-HPG2NQQ4SBC7S6R2DVEYLFB2RQ,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413711,1785413711
TOKEN-7UHC4A7FIL5JZBEBKONKZUDVBE,previous_response_id:TOKEN-EUX6TDJVEKOCV6SEI5RYNH5B2E,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413719,1785413719
TOKEN-X543S2OAFKZQAACNMTT67YTH5A,previous_response_id:TOKEN-775MLI6JVUTZ54O5RB7YH75MJY,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413730,1785413730
TOKEN-ZDUTWPXK4KXTLHYKVJ6MEXYLLM,previous_response_id:TOKEN-6ZWLIFOJSTSGNROZH6P3QXX73A,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413737,1785413737
TOKEN-HJKHBWNYXP6ZJWESLBDDOB4VSE,previous_response_id:TOKEN-43647FZRJAYHBD5ZPEKS4EDP2Y,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413744,1785413744
TOKEN-66KASA5DTNMXV2Z75X7VKWP3LM,previous_response_id:TOKEN-X3NYVJ6T2VUVJ6KFWCCOV3PDW4,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413770,1785413770
TOKEN-MZT5EGB5XVR3HP3XU2AP3U62V4,previous_response_id:TOKEN-KRD3KFBSMYNZPE6VJIRME5V67U,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413775,1785413775
TOKEN-4PRC6WFPWRJTJCM37LHGZCOJ5U,previous_response_id:TOKEN-FVI7STP5OVSKOCNQWRPGLSO36A,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413781,1785413781
TOKEN-QX2AJIKFFR33CCLPPQM3VXI37I,previous_response_id:TOKEN-53XPSIRTFCUY3O5UIEJ7I57DHU,previous_response_id,ACC-KTRZJAHV67UMB4QDJHUCYPZKNM,codex,gpt-5.6-sol,egress_us_1,0,1785413803,1785413803
TOKEN-ZQNKQGKYUBCGAZN57QXXAWB624,previous_response_id:TOKEN-T6L2JG24MCAPIYBVDLZ3DSG5SE,previous_response_id,ACC-TP5ELWQQJ2C3BYGXSN2GIKQTEE,codex,gpt-5.5,egress_us_1,0,1785413809,1785413809
